dataset,lines,bytes,tool,trial,wall_s,cpu_s,peak_rss_kb,out_lines,exit,status,sha256
D_example_wb.50000,50000,12983735,urless,2,2.318,2.317,30960,871,0,OK,b8a25ad83089d1421e6aaf3c961acaaf85847b38a4e81de2df778d0ca0f73031
D_example_wb.50000,50000,12983735,urless,3,2.299,2.297,30988,871,0,OK,b8a25ad83089d1421e6aaf3c961acaaf85847b38a4e81de2df778d0ca0f73031
D_example_wb.50000,50000,12983735,urless,4,2.309,2.308,31060,871,0,OK,b8a25ad83089d1421e6aaf3c961acaaf85847b38a4e81de2df778d0ca0f73031
D_example_wb.50000,50000,12983735,urless,5,2.312,2.311,30884,871,0,OK,b8a25ad83089d1421e6aaf3c961acaaf85847b38a4e81de2df778d0ca0f73031
D_example_wb.50000,50000,12983735,urless,6,2.308,2.307,30964,871,0,OK,b8a25ad83089d1421e6aaf3c961acaaf85847b38a4e81de2df778d0ca0f73031
D_example_wb.50000,50000,12983735,urless,7,2.362,2.361,30956,871,0,OK,b8a25ad83089d1421e6aaf3c961acaaf85847b38a4e81de2df778d0ca0f73031
D_example_wb.50000,50000,12983735,urless,8,2.331,2.330,30900,871,0,OK,b8a25ad83089d1421e6aaf3c961acaaf85847b38a4e81de2df778d0ca0f73031
D_example_wb.50000,50000,12983735,urless,9,2.297,2.295,30984,871,0,OK,b8a25ad83089d1421e6aaf3c961acaaf85847b38a4e81de2df778d0ca0f73031
D_example_wb.50000,50000,12983735,urless,10,2.325,2.324,30876,871,0,OK,b8a25ad83089d1421e6aaf3c961acaaf85847b38a4e81de2df778d0ca0f73031
D_example_wb.50000,50000,12983735,uddup,1,5.822,5.819,41212,45269,0,OK,b6bf8a0c3753d0f1abfe96b27c5e9d3fad94394fcc0d46a0823de1f91e71a025
D_example_wb.50000,50000,12983735,uddup,2,5.915,5.912,41188,45269,0,OK,b6bf8a0c3753d0f1abfe96b27c5e9d3fad94394fcc0d46a0823de1f91e71a025
D_example_wb.50000,50000,12983735,uddup,3,5.996,5.993,41260,45269,0,OK,b6bf8a0c3753d0f1abfe96b27c5e9d3fad94394fcc0d46a0823de1f91e71a025
D_example_wb.100000,100000,26132566,xcull,1,1.053,1.053,3812,1461,0,OK,4c83ec3ff605aeafc51a8d34b482d5e0b6923efbf4386c65a914f744c16bf0c0
D_example_wb.100000,100000,26132566,xcull,2,1.001,1.001,3632,1461,0,OK,4c83ec3ff605aeafc51a8d34b482d5e0b6923efbf4386c65a914f744c16bf0c0
D_example_wb.100000,100000,26132566,xcull,3,0.995,0.994,3780,1461,0,OK,4c83ec3ff605aeafc51a8d34b482d5e0b6923efbf4386c65a914f744c16bf0c0
D_example_wb.100000,100000,26132566,xcull,4,1.043,1.042,3780,1461,0,OK,4c83ec3ff605aeafc51a8d34b482d5e0b6923efbf4386c65a914f744c16bf0c0
D_example_wb.100000,100000,26132566,xcull,5,1.011,1.010,3716,1461,0,OK,4c83ec3ff605aeafc51a8d34b482d5e0b6923efbf4386c65a914f744c16bf0c0
D_example_wb.100000,100000,26132566,xcull,6,0.995,0.995,3772,1461,0,OK,4c83ec3ff605aeafc51a8d34b482d5e0b6923efbf4386c65a914f744c16bf0c0
D_example_wb.100000,100000,26132566,xcull,7,1.016,1.015,3632,1461,0,OK,4c83ec3ff605aeafc51a8d34b482d5e0b6923efbf4386c65a914f744c16bf0c0
D_example_wb.100000,100000,26132566,xcull,8,1.027,1.027,3600,1461,0,OK,4c83ec3ff605aeafc51a8d34b482d5e0b6923efbf4386c65a914f744c16bf0c0
D_example_wb.100000,100000,26132566,xcull,9,1.022,1.021,3700,1461,0,OK,4c83ec3ff605aeafc51a8d34b482d5e0b6923efbf4386c65a914f744c16bf0c0
D_example_wb.100000,100000,26132566,xcull,10,1.007,1.007,3772,1461,0,OK,4c83ec3ff605aeafc51a8d34b482d5e0b6923efbf4386c65a914f744c16bf0c0
D_example_wb.100000,100000,26132566,uro,1,5.465,5.462,17968,1089,0,OK,db95faa55f89833784c85326e9402019c9a0802169554955ea43e8ee31a49da2
D_example_wb.100000,100000,26132566,uro,2,7.527,7.524,17984,1089,0,OK,db95faa55f89833784c85326e9402019c9a0802169554955ea43e8ee31a49da2
D_example_wb.100000,100000,26132566,uro,3,5.369,5.367,17932,1089,0,OK,db95faa55f89833784c85326e9402019c9a0802169554955ea43e8ee31a49da2
D_example_wb.100000,100000,26132566,uro,4,5.459,5.456,18024,1089,0,OK,db95faa55f89833784c85326e9402019c9a0802169554955ea43e8ee31a49da2
D_example_wb.100000,100000,26132566,uro,5,5.367,5.364,18048,1089,0,OK,db95faa55f89833784c85326e9402019c9a0802169554955ea43e8ee31a49da2
D_example_wb.100000,100000,26132566,uro,6,5.386,5.383,18136,1089,0,OK,db95faa55f89833784c85326e9402019c9a0802169554955ea43e8ee31a49da2
D_example_wb.100000,100000,26132566,uro,7,5.357,5.355,17900,1089,0,OK,db95faa55f89833784c85326e9402019c9a0802169554955ea43e8ee31a49da2
D_example_wb.100000,100000,26132566,uro,8,5.383,5.380,18048,1089,0,OK,db95faa55f89833784c85326e9402019c9a0802169554955ea43e8ee31a49da2
D_example_wb.100000,100000,26132566,uro,9,5.407,5.404,17976,1089,0,OK,db95faa55f89833784c85326e9402019c9a0802169554955ea43e8ee31a49da2
D_example_wb.100000,100000,26132566,uro,10,5.374,5.372,17988,1089,0,OK,db95faa55f89833784c85326e9402019c9a0802169554955ea43e8ee31a49da2
D_example_wb.100000,100000,26132566,urldedupe,1,1.431,1.430,53888,4980,0,OK,9bbf8b443e6f43e9344979bfa92ada6c24e0b91aae6904c96aec2653206aa18c
D_example_wb.100000,100000,26132566,urldedupe,2,1.437,1.435,53852,4980,0,OK,9bbf8b443e6f43e9344979bfa92ada6c24e0b91aae6904c96aec2653206aa18c
